Time,Open,High,Low,Close,Volume
2023-02-07 00:06:00,4117.41,4118.425,4117.41,4118.425,1
2023-02-07 00:07:00,4118.289,4118.476,4118.048,4118.169,1
2023-02-07 00:08:00,4118.425,4118.476,4117.922,4118.413,1
2023-02-07 00:09:00,4118.666,4119.415,4118.666,4118.921,1
2023-02-07 00:10:00,4119.039,4119.665,4118.91,4119.159,1
2023-02-07 00:11:00,4119.415,4119.668,4119.409,4119.412,1
2023-02-07 00:12:00,4119.551,4120.171,4119.403,4119.403,1
2023-02-07 00:13:00,4119.665,4119.665,4119.159,4119.466,1
2023-02-07 00:14:00,4119.536,4119.921,4119.403,4119.903,1
2023-02-07 00:15:00,4120.165,4120.526,4119.713,4119.842,1
2023-02-07 00:16:00,4119.95,4120.215,4119.718,4120.215,1
2023-02-07 00:17:00,4119.953,4120.098,4119.463,4119.731,1
2023-02-07 00:18:00,4119.836,4119.962,4119.46,4119.46,1
2023-02-07 00:19:00,4119.595,4119.719,4119.466,4119.71,1
2023-02-07 00:20:00,4119.972,4119.972,4119.972,4119.972,1
2023-02-07 00:21:00,4120.212,4120.266,4119.966,4119.966,1
2023-02-07 00:22:00,4119.725,4119.725,4118.976,4118.976,1
2023-02-07 00:23:00,4119.232,4119.472,4119.21,4119.472,1
2023-02-07 00:24:00,4119.776,4119.981,4119.488,4119.488,1
2023-02-07 00:25:00,4119.608,4119.786,4119.473,4119.488,1
2023-02-07 00:26:00,4119.353,4119.476,4119.233,4119.239,1
2023-02-07 00:27:00,4118.989,4119.245,4118.745,4119.245,1
2023-02-07 00:28:00,4118.992,4119.243,4118.983,4119.243,1
2023-02-07 00:29:00,4118.99,4119.483,4118.99,4119.239,1
2023-02-07 00:30:00,4119.48,4119.751,4119.236,4119.751,1
2023-02-07 00:31:00,4119.995,4120.248,4119.986,4120.248,1
2023-02-07 00:32:00,4119.998,4120.509,4119.998,4120.509,1
2023-02-07 00:33:00,4120.268,4120.518,4120.013,4120.076,1
2023-02-07 00:34:00,4120.266,4120.298,4120.039,4120.039,1
2023-02-07 00:35:00,4119.792,4119.792,4119.536,4119.536,1
2023-02-07 00:36:00,4119.523,4119.535,4118.903,4119.159,1
2023-02-07 00:37:00,4119.029,4119.279,4118.783,4119.279,1
2023-02-07 00:38:00,4119.466,4119.791,4119.466,4119.596,1
2023-02-07 00:39:00,4119.65,4119.856,4119.548,4119.856,1
2023-02-07 00:40:00,4120.045,4120.096,4119.796,4119.801,1
